event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,external-temperature,gps:fix-type-raw,gps:satellite-count,gps-time-to-fix,ground-speed,gt:activity-count,gt:sys-week,gt:tx-count,heading,height-above-ellipsoid,import-marked-outlier,location-error-text,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
31708734897,TRUE,2024-02-16 02:43:03,46.62118,-20.23631,,778,-123,4.0165569211E8,93,173,56,-20.23631,-20.23631,3,46.62118,46.62118,7,0,3,76,439,189,45,116,63,98,204,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31776095020,TRUE,2024-02-21 09:01:52,46.6217079,-20.2362232,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,836,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31690607372,TRUE,2024-02-15 15:00:16,46.6217079,-20.2363014,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,817,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31690607371,TRUE,2024-02-15 03:58:56,46.6217842,-20.2361736,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,785,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31692245342,TRUE,2024-02-15 03:58:56,46.6217842,-20.2361736,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,785,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31683006030,TRUE,2024-02-14 02:01:36,46.6217842,-20.2363014,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,749,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31683830054,TRUE,2024-02-14 02:01:36,46.6217842,-20.2363014,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,749,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31710256435,TRUE,2024-02-17 09:01:52,46.6218109,-20.2362747,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,806,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31713877369,TRUE,2024-02-17 09:01:52,46.6218109,-20.2362747,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,806,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31732584650,TRUE,2024-02-18 04:01:04,46.6218376,-20.2361221,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,805,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31707781096,TRUE,2024-02-17 02:59:12,46.6218376,-20.2362499,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,794,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31788373666,TRUE,2024-02-22 03:01:20,46.6218605,-20.2361221,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,840,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31699540960,TRUE,2024-02-16 08:59:44,46.6218605,-20.2362499,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,789,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
