"week","sampleid","bat_species","seropos","antigen","age","age_bin","collection_date","biwk"
50,"ANGB52","Eidolon dupreanum",0,"NiV",1,2,2014-12-14,25
50,"ANGB48","Eidolon dupreanum",1,"NiV",2.5,4,2014-12-14,25
50,"ANGB51","Eidolon dupreanum",0,"NiV",0.073972602739726,0.1,2014-12-14,25
50,"ANGB47","Eidolon dupreanum",1,"NiV",0.073972602739726,0.1,2014-12-14,25
50,"ANGB53","Eidolon dupreanum",0,"NiV",2,2,2014-12-14,25
50,"ANGB49","Eidolon dupreanum",1,"NiV",0.073972602739726,0.1,2014-12-14,25
51,"KEL66","Eidolon dupreanum",0,"NiV",3,4,2014-12-17,26
51,"KEL68","Eidolon dupreanum",0,"NiV",2,2,2014-12-17,26
51,"KEL86","Eidolon dupreanum",0,"NiV",1,2,2014-12-18,26
51,"KEL88","Eidolon dupreanum",0,"NiV",4,4,2014-12-18,26
51,"KEL91","Eidolon dupreanum",0,"NiV",1,2,2014-12-18,26
51,"KEL92","Eidolon dupreanum",0,"NiV",0.0849315068493151,0.1,2014-12-18,26
51,"KEL94","Eidolon dupreanum",0,"NiV",1,2,2014-12-18,26
51,"KEL95","Eidolon dupreanum",0,"NiV",2,2,2014-12-18,26
51,"KEL96","Eidolon dupreanum",0,"NiV",6,6,2014-12-18,26
51,"KEL69","Eidolon dupreanum",0,"NiV",2,2,2014-12-17,26
51,"KEL70","Eidolon dupreanum",0,"NiV",1,2,2014-12-17,26
51,"KEL71","Eidolon dupreanum",1,"NiV",1,2,2014-12-17,26
51,"KEL82","Eidolon dupreanum",0,"NiV",0.0849315068493151,0.1,2014-12-18,26
51,"KEL83","Eidolon dupreanum",0,"NiV",3,4,2014-12-18,26
51,"KEL84","Eidolon dupreanum",0,"NiV",1,2,2014-12-18,26
